outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct,target_family,horizon_sessions,train_observations,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O1,LGBM_REGRESSION,CAPACITY,10,50,0,10000000,0.05,VOL_SCALED,40,715,1.6368418977295645,2.8861336004560005,4.891361238247864,-0.11775891424982787,-0.08941579742156869,180,1.2554809393532094,5.0219237574128375,47,43,4,0.9148936170212766,123328.26941688833,0.03688839588304492,9.331491712707182,0,0.006283070074619972,0.026591776119480475,0.05494269322284465,0.14363497930165628,0.02127659574468085
O1,LGBM_REGRESSION,CAPACITY,10,50,0,10000000,0.1,VOL_SCALED,40,715,1.7732020384885168,3.170365460651264,4.89415438976729,-0.12502159603355523,-0.08941579742156869,180,1.3458955551621672,5.383582220648669,47,47,0,1.0,139252.05789963095,0.002243032951462246,10.0,0,0.0056453208137468925,0.02689622535935491,0.040612936895239246,0.06946167713417475,0.0
O1,LGBM_REGRESSION,CAPACITY,10,50,0,10000000,0.2,VOL_SCALED,40,715,1.7732020384885168,3.170365460651264,4.89415438976729,-0.12502159603355523,-0.08941579742156869,180,1.3458955551621672,5.383582220648669,47,47,0,1.0,139252.05789963095,0.002243032951462246,10.0,0,0.0056453208137468925,0.02689622535935491,0.040612936895239246,0.06946167713417475,0.0
O1,LGBM_REGRESSION,CAPACITY,10,50,0,50000000,0.05,VOL_SCALED,40,715,1.225267322111058,2.0643267089415196,4.039784387350805,-0.22794485036397583,-0.06983115467001821,180,0.9203997176846777,3.6815988707387106,45,30,15,0.6666666666666666,481666.7068016649,0.11628038294005572,8.331491712707182,0,0.024224098153833088,0.16442221521803196,0.28236398738576496,0.7458894762468938,0.2
O1,LGBM_REGRESSION,CAPACITY,10,50,0,50000000,0.1,VOL_SCALED,40,715,1.3663982004449604,2.339819199102823,4.340512068455587,-0.21466225717466125,-0.06983115467001821,180,1.1139829829757677,4.455931931903071,45,37,8,0.8222222222222222,584096.8130080046,0.0701381951081328,8.668508287292818,0,0.02822660406873446,0.13618706556471885,0.28236398738576496,0.7126865229034764,0.15555555555555556
O1,LGBM_REGRESSION,CAPACITY,10,50,0,50000000,0.2,VOL_SCALED,40,715,1.6495403357725147,2.912359456089678,5.053455941173198,-0.1177584991056535,-0.07952396885518409,180,1.2135655803376992,4.854262321350797,46,41,5,0.8913043478260869,619609.0077441451,0.06431701011833843,9.0,0,0.029896572297255987,0.13525259534663026,0.27853872674999436,0.7216311995882341,0.17391304347826086
O1,LAMBDAMART,K_SENSITIVITY,5,0,0,1000000,0.1,VOL_SCALED,40,715,1.3217315474099247,2.2518971663069003,4.424474598173279,-0.09443219233404565,-0.08020419435020931,180,1.315577404531446,5.262309618125784,23,22,1,0.9565217391304348,0.0,0.05918950745167929,4.668508287292818,0,0.00034692456378959446,0.006187469777234773,0.0277731557366508,0.030388303652556434,0.0
O1,LAMBDAMART,K_SENSITIVITY,5,30,0,1000000,0.1,VOL_SCALED,40,715,1.358677698048813,2.324574281945412,4.325299206380062,-0.12674482306622425,-0.07995904588623592,180,1.4017442522782362,5.606977009112945,24,24,0,1.0,7091.379193393317,0.0012118081347071395,5.0,0,0.00032949690294969123,0.0062027945443589964,0.02644807543730341,0.030205973830641095,0.0
O1,LAMBDAMART,K_SENSITIVITY,5,50,0,1000000,0.1,VOL_SCALED,40,715,1.3307528995974,2.2696007660355058,4.278127498308277,-0.12673997008349835,-0.07979318593745777,180,1.3982011391548574,5.59280455661943,24,24,0,1.0,11695.708053371915,0.0020448677211427034,5.0,0,0.0003273671497875136,0.006138107027766202,0.026335406664811156,0.03008442061603087,0.0
O1,LAMBDAMART,K_SENSITIVITY,5,100,0,1000000,0.1,VOL_SCALED,40,715,1.2624359467198372,2.1362220899776987,4.152035653623895,-0.1267168546544355,-0.07937001529320253,180,1.3892919230980407,5.557167692392163,24,24,0,1.0,22785.40840678808,0.004217221667301573,5.0,0,0.0003220887029363194,0.0059790854403170175,0.0260541582498455,0.029780537579505304,0.0
