outer_fold,inner_year,candidate,family,target_family,horizon_sessions,candidate_coverage,coverage_loss,baseline_rank_ic_mean,baseline_rank_ic_median,baseline_rank_ic_std,baseline_positive_ic_ratio,baseline_icir,baseline_ndcg,baseline_spread,baseline_signal_dates,candidate_rank_ic_mean,candidate_rank_ic_median,candidate_rank_ic_std,candidate_positive_ic_ratio,candidate_icir,candidate_ndcg,candidate_spread,candidate_signal_dates,delta_rank_ic,delta_median_ic,delta_ndcg
O2,2022,ret_20,REVERSAL,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.06568985994431238,-0.055011520737327194,0.2208033463858747,0.3333333333333333,0.2975039147708982,0.6394876463741962,0.1387840650576381,3,0.04089512654066879,-0.07560483870967742,-0.008650142472472089
O2,2021,vol_20,RISK,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.11343891821802354,0.1699360933592665,0.1910881451213981,0.6666666666666666,0.5936470739509032,0.5520654597719244,0.019439778432069607,3,-0.10730758544040012,-0.12358988607946655,-0.02624831790614035
O2,2022,vol_20,RISK,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.02486277176754595,0.019489247311827957,0.07440219968457443,0.6666666666666666,0.33416716001611263,0.645602204986253,0.10841823337739247,3,6.803836390235907e-05,-0.0011040706605222744,-0.0025355838604153025
O2,2021,vol_63_rank,RISK,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.2080392701676392,0.28819116421228125,0.23884474613771747,0.6666666666666666,0.8710230119430139,0.5818777989397287,0.050292900674611944,3,-0.012707233490784453,-0.0053348152264517945,0.0035640212616638856
O2,2022,vol_63_rank,RISK,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.010524644013449153,0.024769585253456225,0.08029636196863407,0.6666666666666666,0.13107248890753437,0.6457343482885604,0.13459691698024703,3,-0.014270089390194437,0.0041762672811059935,-0.0024034405581079277
O2,2021,vol_126,RISK,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.22076502732240444,0.12314531814392889,0.20532031913305387,1.0,1.0752225023541968,0.5081773011414412,0.06870721236848885,3,1.8523663980779537e-05,-0.17038066129480417,-0.07013647653662358
O2,2022,vol_126,RISK,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.09923593442850587,0.0473310291858679,0.1141539450132666,1.0,0.869316732040868,0.6049419346670101,0.06349714667813265,3,0.07444120102486228,0.02673771121351767,-0.04319585417965821
O2,2021,downside_vol_63,RISK,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.2309530425118089,0.3224784662406225,0.22834146285043097,0.6666666666666666,1.0114371679535423,0.5963271854279165,0.09149614370958621,3,0.010206538853385239,0.028952486801889443,0.018013407749851718
O2,2022,downside_vol_63,RISK,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,-0.017395820751255498,0.01708909370199693,0.09107709559251577,0.6666666666666666,-0.1910010484862782,0.6384226138634467,0.12165597371104708,3,-0.042190554154899085,-0.0035042242703533025,-0.009715174983221608
O2,2021,downside_vol_126,RISK,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.16043345373714926,0.26657404834676307,0.21683535447097627,0.6666666666666666,0.7398860491572813,0.5549244142626281,0.029842778078004048,3,-0.0603130499212744,-0.02695193109196997,-0.023389363415436737
