outer_fold,architecture,family,case,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O3,LGBM_REGRESSION,FEATURE_NOISE,MILD,4,299,-0.047262763150953416,-0.06396321389038784,0.25,0.5424032823311549,-0.01329878887154547,0.02971004313890508,0.17308080910251444,0.2504291864827044,0.9390707428669095,-0.17472831309868808,-0.0609868045607419,180,1.2923796304178148,5.169518521671259,46,46,0,1.0,5881.694030269721,0.0028597385232294295,10.0,0,0.00019021273902734414,0.00088193813325754,0.0029293220901545052,0.00965425418124123,0.0
O3,LGBM_REGRESSION,FEATURE_NOISE,MODERATE,4,299,-0.05011510376348192,-0.03354410022721668,0.5,0.5323067867461244,-0.015341378305895851,0.029412203597622744,0.19409934227544956,0.2819073651868216,1.0461990932074892,-0.17390330522474395,-0.06065740112910789,180,1.2955072616264576,5.18202904650583,46,46,0,1.0,5987.158752532103,0.0028392952855928744,10.0,0,0.0002591170189481019,0.001936533253022346,0.0029309424799629975,0.00965425418124123,0.0
O3,LGBM_REGRESSION,RANK_NOISE,MILD,4,299,-0.037736048205802564,-0.05461861134759374,0.25,0.5391690217369345,-0.004875321173194133,0.029600620355773086,0.17505487670600872,0.2533760995327554,0.9534887730035005,-0.17472831309868808,-0.06457204097457891,180,1.2923804969494816,5.169521987797927,46,46,0,1.0,5891.605032183926,0.0028535414184434563,10.0,0,0.000190149785783757,0.0009869181432195133,0.0029293220901545052,0.00965425418124123,0.0
O3,LGBM_REGRESSION,RANK_NOISE,MODERATE,4,299,-0.04099445933254843,-0.0649761163891367,0.25,0.5352827975820339,-0.00652832283230227,0.02954010613538851,0.17505487670600872,0.2533760995327554,0.9534887730035005,-0.17472831309868808,-0.06457204097457891,180,1.2923804969494816,5.169521987797927,46,46,0,1.0,5891.605032183926,0.0028535414184434563,10.0,0,0.000190149785783757,0.0009869181432195133,0.0029293220901545052,0.00965425418124123,0.0
O3,LGBM_REGRESSION,PARAMETER,LOW_COMPLEXITY,4,299,-0.04935985912880502,-0.06666261523930592,0.25,0.5686058820390667,-0.009975720070329847,0.02725299905130715,0.190345256732946,0.2762687162869293,0.998563051231203,-0.19371036595890667,-0.060062715980663484,180,1.2924034545220118,5.169613818088047,46,46,0,1.0,5968.051112200951,0.0028132309068258613,10.0,0,0.00019249517460641276,0.0022334520338093333,0.003015919881564824,0.00965425418124123,0.0
O3,LGBM_REGRESSION,PARAMETER,HIGH_COMPLEXITY,4,299,-0.025436877640175257,-0.0322389022075355,0.25,0.5332675589990541,-0.0036390865365194,0.032310140201663784,0.14761120938465466,0.21258640343352875,0.8361841795677025,-0.17472831309868808,-0.06457177053402352,180,1.2481950426509842,4.992780170603937,45,45,0,1.0,5753.978865181719,0.003152813925671521,10.0,0,0.00019027728313254094,0.0009757552466413266,0.002938702188667329,0.00965425418124123,0.0
O3,LAMBDAMART,BASE,BASE,4,299,0.015557265228248811,-0.009163538900031075,0.25,0.544694705969565,-0.010052154385346937,0.35903090972124757,0.33318008924701137,0.4956994932737917,1.7085495552840848,-0.1497291314952207,-0.07259927578162217,180,1.2514196910437203,5.005678764174881,45,45,0,1.0,6684.096348874743,0.0031332457106830283,10.0,0,0.00014755308135672553,0.0018278639776245522,0.0033285418236594804,0.00965425418124123,0.0
O3,LAMBDAMART,ABLATION,WITHOUT_mom_12_1,4,299,0.024753925944408284,0.03210223952924583,0.5,0.5282651193274541,-0.01985166966947637,0.331987915830103,-0.04844382893756605,-0.06715776212721214,-0.14296151762629972,-0.2525273917930756,-0.053371322333049864,180,1.3419508280991708,5.367803312396683,47,47,0,1.0,4769.194414234339,0.0027014614415420608,10.0,0,0.0001549439547599133,0.00044447580043241393,0.0015164253350462916,0.00965425418124123,0.0
O3,LAMBDAMART,ABLATION,WITHOUT_mom_63,4,299,-0.042863673755866756,-0.07705160100643327,0.5,0.5533683872700799,-0.04193945013754755,0.37687188158161694,0.3267299861089088,0.485578354580249,1.7506397029344343,-0.167761096818404,-0.049770442831910455,180,1.3422644154557746,5.369057661823098,47,47,0,1.0,6658.952164856151,0.0025379569622570406,10.0,0,0.00022276465684951182,0.002169861654925497,0.009382356728107558,0.014532960124387652,0.0
O3,LAMBDAMART,ABLATION,WITHOUT_vol_63,4,299,0.04971602781286121,0.055035300797955766,0.75,0.5522291195457739,0.003793833720445415,0.35336765512628815,0.21646718093984774,0.3156505609581093,1.1112437145511334,-0.16743689900187708,-0.07300971352184782,180,1.302527239070116,5.210108956280464,46,46,0,1.0,6099.9991436451555,0.002833078751301041,10.0,0,0.00020374561164288686,0.0026075568487255053,0.007458236463646932,0.00965425418124123,0.0
O3,LAMBDAMART,FEATURE_NOISE,MILD,4,299,0.018756399673698496,-0.01132859959267879,0.5,0.5472561561322221,-0.008622492904653114,0.35413296251864096,0.28714547496168485,0.4238973702489506,1.5559237271396742,-0.1497290619128412,-0.07259924102970283,180,1.2516231905839645,5.006492762335858,45,45,0,1.0,6453.291600845154,0.003167602114760378,10.0,0,0.00010029205781819177,0.0017647470411281145,0.003346661889420209,0.00965425418124123,0.0
O3,LAMBDAMART,FEATURE_NOISE,MODERATE,4,299,-0.000827447642775616,-0.021989766722756238,0.25,0.4980223651051599,-0.013194985620237692,0.34587260216527765,0.2419007062399645,0.3543210343776044,1.3299818582644876,-0.15582956928983627,-0.07267258078532479,180,1.2516567511799237,5.006627004719695,45,45,0,1.0,6233.319839690004,0.003122542372988399,10.0,0,8.180468942981289e-05,0.0005782032467584941,0.0018955432296247515,0.00965425418124123,0.0
O3,LAMBDAMART,RANK_NOISE,MILD,4,299,0.011474171050264957,-0.013182525609285158,0.25,0.5272706371802707,-0.02221712772851006,0.3589799641467485,0.25596761125492384,0.37584596980208573,1.3563332434562583,-0.16524698226940948,-0.06690639442763224,180,1.2513840404451804,5.0055361617807215,45,45,0,1.0,6296.782423058564,0.0031640619301985078,10.0,0,0.00011721110783899678,0.0004675698286135175,0.0018418761517682535,0.00965425418124123,0.0
O3,LAMBDAMART,RANK_NOISE,MODERATE,4,299,0.010978460206909495,-0.020703108035683156,0.25,0.5224949659960022,-0.028374791481456114,0.3592719236576862,0.25596761125492384,0.37584596980208573,1.3563332434562583,-0.16524698226940948,-0.06690639442763224,180,1.2513840404451804,5.0055361617807215,45,45,0,1.0,6296.782423058564,0.0031640619301985078,10.0,0,0.00011721110783899678,0.0004675698286135175,0.0018418761517682535,0.00965425418124123,0.0
