date,equity_before_terminal_liquidation,equity,positions,terminal_liquidation_cost
2023-06-06,8.251789256366132,8.251789256366132,66,
2023-06-07,8.458830717676099,8.458830717676099,66,
2023-06-08,8.45764890044726,8.45764890044726,66,
2023-06-09,8.591253250464655,8.591253250464655,66,
2023-06-12,8.531328640114616,8.531328640114616,66,
2023-06-13,8.317664997226185,8.317664997226185,66,
2023-06-14,8.229254098434536,8.229254098434536,66,
2023-06-15,8.417473179464833,8.417473179464833,66,
2023-06-16,8.40044993169206,8.40044993169206,66,
2023-06-19,8.09986549687774,8.09986549687774,66,
2023-06-20,8.061251607915665,8.061251607915665,66,
2023-06-21,7.9757729076051165,7.9757729076051165,66,
2023-06-22,8.305536075478837,8.305536075478837,66,
2023-06-23,8.550955301646086,8.550955301646086,66,
2023-06-26,8.805694854738213,8.805694854738213,66,
2023-06-27,8.891308166139398,8.891308166139398,66,
2023-07-03,9.243687918756345,9.243687918756345,66,
2023-07-04,9.249904819341666,9.249904819341666,66,
2023-07-05,9.393173092205638,9.393173092205638,66,
2023-07-06,9.458753172025007,9.458753172025007,66,
2023-07-07,9.549420802799796,9.549420802799796,66,
2023-07-10,9.73784705797275,9.73784705797275,66,
2023-07-11,9.83234643109298,9.83234643109298,66,
2023-07-12,9.800135651679017,9.800135651679017,66,
2023-07-13,9.825312495472481,9.825312495472481,66,
2023-07-14,9.946209858117065,9.946209858117065,66,
2023-07-17,10.200818277518534,10.200818277518534,66,
2023-07-18,9.855581778871786,9.855581778871786,66,
2023-07-19,10.197507269399006,10.197507269399006,66,
2023-07-20,10.436614689069492,10.436614689069492,66,
2023-07-21,10.501586231054759,10.501586231054759,66,
2023-07-24,10.497575231703834,10.497575231703834,66,
2023-07-25,10.360060079665502,10.360060079665502,66,
2023-07-26,10.53789825394512,10.53789825394512,66,
2023-07-27,10.72925408663092,10.72925408663092,66,
2023-07-28,11.0171773699151,11.0171773699151,66,
2023-07-31,11.262951845604581,11.262951845604581,66,
2023-08-01,11.191075228805117,11.191075228805117,66,
2023-08-02,11.354650184780171,11.354650184780171,66,
2023-08-03,11.396097511856148,11.396097511856148,66,
2023-08-04,11.622852993876913,11.622852993876913,66,
2023-08-07,11.790929031467728,11.790929031467728,66,
