date,nav,outer_fold,architecture,cost_bps
2023-05-17,0.9095416313762573,O2,LGBM_REGRESSION,30
2023-05-18,0.8775573817241552,O2,LGBM_REGRESSION,30
2023-05-22,0.8881362538901992,O2,LGBM_REGRESSION,30
2023-05-23,0.9020324676264926,O2,LGBM_REGRESSION,30
2023-05-24,0.9054798612058436,O2,LGBM_REGRESSION,30
2023-05-25,0.9233915337885539,O2,LGBM_REGRESSION,30
2023-05-26,0.9547288573423156,O2,LGBM_REGRESSION,30
2023-05-29,1.00158836888649,O2,LGBM_REGRESSION,30
2023-05-30,1.0377097358671703,O2,LGBM_REGRESSION,30
2023-05-31,1.014685235365715,O2,LGBM_REGRESSION,30
2023-06-01,1.0348841385354166,O2,LGBM_REGRESSION,30
2023-06-02,1.0637128351792438,O2,LGBM_REGRESSION,30
2023-06-05,1.0917133338541172,O2,LGBM_REGRESSION,30
2023-06-06,1.076741115187662,O2,LGBM_REGRESSION,30
2023-06-07,1.1024910148837639,O2,LGBM_REGRESSION,30
2023-06-08,1.0950808648467945,O2,LGBM_REGRESSION,30
2023-06-09,1.1362754576405383,O2,LGBM_REGRESSION,30
2023-06-12,1.129383177865188,O2,LGBM_REGRESSION,30
2023-06-13,1.0993223755062012,O2,LGBM_REGRESSION,30
2023-06-14,1.0830294338927409,O2,LGBM_REGRESSION,30
2023-06-15,1.1084364619844391,O2,LGBM_REGRESSION,30
2023-06-16,1.1070677481466495,O2,LGBM_REGRESSION,30
2023-06-19,1.0700675183948178,O2,LGBM_REGRESSION,30
2023-06-20,1.0498864519864093,O2,LGBM_REGRESSION,30
2023-06-21,1.0534430364102423,O2,LGBM_REGRESSION,30
2023-06-22,1.0886574799626731,O2,LGBM_REGRESSION,30
2023-06-23,1.1260614263614814,O2,LGBM_REGRESSION,30
2023-06-26,1.1709528269022584,O2,LGBM_REGRESSION,30
2023-06-27,1.198202477442807,O2,LGBM_REGRESSION,30
2023-07-03,1.2433312205912954,O2,LGBM_REGRESSION,30
2023-07-04,1.2466017049948537,O2,LGBM_REGRESSION,30
2023-07-05,1.2663597209052535,O2,LGBM_REGRESSION,30
2023-07-06,1.2885737333724978,O2,LGBM_REGRESSION,30
2023-07-07,1.3024413482755277,O2,LGBM_REGRESSION,30
2023-07-10,1.3371952960931224,O2,LGBM_REGRESSION,30
2023-07-11,1.3236649301142769,O2,LGBM_REGRESSION,30
2023-07-12,1.2943612319160391,O2,LGBM_REGRESSION,30
