date,nav,cash_weight,holdings,outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct
2022-10-26,2.5726139609856045,0.0016700881934307134,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-27,2.5389831271476484,0.0016922098286347642,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-28,2.5134130800536085,0.0017094254170132036,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-31,2.542255565703058,0.0016900315847312895,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-01,2.5683396898775297,0.0016728675803401834,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-02,2.5564806547272965,0.0016806276998624083,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-03,2.5719096292525316,0.0016705455563560219,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-04,2.6327836347440896,0.0016319199746600921,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-07,2.6957850643467,0.0015937814402641546,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-08,2.694875670554732,0.0015943192665406566,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-09,2.645890650344233,0.0016238358913049193,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-10,2.7171206105238617,0.0015812666489135772,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-11-11,2.692730712524266,0.0015796585713511529,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-02-22,1.0087114454092678,1.4426241810374874e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-02-23,1.003382735951595,1.450285589632555e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-02-24,0.9135268710915068,1.592937842209264e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-02-25,0.9629066931132246,1.5112487359827445e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-02-28,0.9635613580993551,1.5102219600286596e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-01,0.9769753820535345,1.4894863776177997e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-02,0.985189557646785,1.47706754658722e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-03,0.9997715512983224,1.4555240354128358e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-04,1.001408353607941,1.4531449808600295e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-07,0.9942013926664538,1.463678821585487e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-08,1.0022035200022805,1.4519920293568454e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-09,1.0274236579627478,1.4163500242170278e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
