outer_fold,architecture,cost_bps,delay_sessions,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O4,LGBM_REGRESSION,30,0,0.022288809993352476,0.0970063701889603,0.6087070191884912,-0.10858969358050852,-0.07409484500845986,60,0.9955283157656407,1.9910566315312814,10,10,0,1.0,3067.013470391231,0.0029725255865645723,10.0,0,0.00020328788029451688,0.0006740401558030274,0.0008999044919634476,0.0011257688281238688,0.0
O4,LGBM_REGRESSION,50,0,0.018182669017063002,0.07861869109642172,0.5810538760857492,-0.10838270255856775,-0.07395360722443856,60,0.9925324297077504,1.9850648594155007,10,10,0,1.0,5091.118939784236,0.0049839230275567446,10.0,0,0.00020246982041405602,0.0006713277205684076,0.0008962831459193291,0.0011212385712702517,0.0
O4,LGBM_REGRESSION,100,0,0.008059312197710389,0.03428817803042161,0.5119209448502398,-0.10785427505929523,-0.07359304120416743,60,0.9849908592964205,1.969981718592841,10,10,0,1.0,10079.386991896063,0.010116764288176662,10.0,0,0.00020042467071290394,0.0006645466324818579,0.0008872297808090329,0.0011099129291362087,0.0
O4,LGBM_REGRESSION,50,1,0.05501275733300459,0.2522250491947644,0.8689036706299804,-0.10785027236603684,-0.07389474386362038,60,0.9926185736963355,1.985237147392671,10,10,0,1.0,5276.194760467359,0.004954370881522491,10.0,0,0.0001906176463685815,0.0006610543634660952,0.0008397796818566113,0.0010185050002471281,0.0
O4,LGBM_REGRESSION,50,2,0.05043255327065155,0.22955036581781219,0.7973172723677976,-0.10841435610889716,-0.0742160154990148,60,0.9926081897068143,1.9852163794136286,10,10,0,1.0,5253.178659651513,0.004981115284010664,10.0,0,0.00020032168510863686,0.0006574772948686504,0.0008201058045706648,0.0009827343142726798,0.0
O4,LAMBDAMART,0,0,0.15779782674332266,0.8503652601789979,2.307248014478468,-0.10634277448807006,-0.07541966884727624,60,1.0,2.0,10,10,0,1.0,0.0,0.0,10.0,0,0.0002702459962803305,0.0019435665825331813,0.004804950473738462,0.007666334364943755,0.0
O4,LAMBDAMART,30,0,0.15041648666351404,0.8013222243660205,2.2588901689985468,-0.10606304518212628,-0.07522128121141969,60,0.9956922259390166,1.9913844518780333,10,10,0,1.0,3452.5531193485886,0.002892637152290384,10.0,0,0.0002686245203026485,0.001931905183037982,0.004776120770896031,0.0076203363587540925,0.0
O4,LAMBDAMART,50,0,0.1455387492335103,0.769461403921623,2.2262920320904516,-0.10587365323661013,-0.07508696199808373,60,0.9928067696263019,1.9856135392526038,10,10,0,1.0,5731.099242379448,0.004850222729354678,10.0,0,0.00026754353631752714,0.0019241309167078494,0.004756900969001077,0.007589671021294317,0.0
O4,LAMBDAMART,100,0,0.13349545150637177,0.6926340894146057,2.143691528935833,-0.10538994693628989,-0.07474391124390622,60,0.9855452363049305,1.971090472609861,10,10,0,1.0,11346.418702084564,0.009846642125896797,10.0,0,0.00026484107635472385,0.0019046952508825175,0.0047088514642636935,0.00751300767764488,0.0
O4,LAMBDAMART,50,1,0.18134634029457208,1.013651959063604,2.502260570441357,-0.10504224765118819,-0.07488561626016443,60,0.992873249685762,1.985746499371524,10,10,0,1.0,5911.036885902372,0.004799929657190804,10.0,0,0.00026761989134476923,0.0017947473034190028,0.0044771035313068185,0.007159459759194645,0.0
O4,LAMBDAMART,50,2,0.14994951419564972,0.7982532390563533,2.2582379997378665,-0.1056223750821571,-0.07516960571791331,60,0.9928151822009275,1.985630364401855,10,10,0,1.0,5753.263890430399,0.004821224578515086,10.0,0,0.00026476286950560487,0.0017351766991180887,0.003957220678870658,0.006179264658623235,0.0
O4,ENSEMBLE_50_50,0,0,0.13395044078577234,0.6954895270025847,1.966226623215906,-0.10077543638633935,-0.07386069094386749,60,0.9999999999999998,1.9999999999999996,10,10,0,1.0,0.0,0.0,10.0,0,0.0001692018715197837,0.0011500781416237326,0.0012288908186112038,0.0013077034955986755,0.0
O4,ENSEMBLE_50_50,30,0,0.12678329792663434,0.6509338941036711,1.9209114994200287,-0.10051189418821582,-0.07366753465951636,60,0.9956647964238543,1.9913295928477086,10,10,0,1.0,3381.4402144231735,0.0028717258944498812,10.0,0,0.000168186660290665,0.0011431776727739902,0.0012215174736995365,0.0012998572746250833,0.0
O4,ENSEMBLE_50_50,50,0,0.1220478816960251,0.6219887540638716,1.8903746663159813,-0.10033345720216724,-0.0735367539896219,60,0.9927608517608932,1.9855217035217865,10,10,0,1.0,5613.054681889573,0.004815233108631688,10.0,0,0.00016750985280458586,0.0011385773602074953,0.0012166019104250917,0.0012946264606426886,0.0
O4,ENSEMBLE_50_50,100,0,0.11035871765035643,0.5521935982425099,1.813023035092538,-0.09987771299644055,-0.07320272832686436,60,0.9854524031066567,1.9709048062133134,10,10,0,1.0,11112.714319700568,0.009775987801448558,10.0,0,0.000165817834089388,0.001127076578791258,0.0012043130022389799,0.001281549425686702,0.0
O4,ENSEMBLE_50_50,50,1,0.16252016995995544,0.8822707186919565,2.2646099711579875,-0.0993378514038098,-0.07342516171668123,60,0.992838807760049,1.985677615520098,10,10,0,1.0,5816.433014874148,0.004782585651504465,10.0,0,0.00016503788299007828,0.0010365213143890308,0.0011175947280275935,0.0011986681416661562,0.0
O4,ENSEMBLE_50_50,50,2,0.14987063023681846,0.7977352001254026,2.0323645252589744,-0.09936056773543078,-0.07350149012739071,60,0.992815032313751,1.985630064627502,10,10,0,1.0,5752.867488627227,0.004783872080849847,10.0,0,0.0001647093465215678,0.001008599797651608,0.0011249944728567854,0.0012413891480619634,0.0
