outer_fold,architecture,inner_validation_year,target_family,horizon_sessions,train_observations,train_last_label_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O1,FACTOR_COMPOSITE,2020,VOL_SCALED,40,236,2019-11-26,3,179,0.03020501926563704,0.014558211890633894,0.6666666666666666,0.5865208719827967,-0.012660836980956686,0.14015742825021285
O1,FACTOR_COMPOSITE,2020,VOL_SCALED,60,236,2019-12-24,3,177,0.019433587945098658,-0.002601768791699632,0.3333333333333333,0.6259705638119691,-0.029281400836206662,0.13882541360326264
O1,FACTOR_COMPOSITE,2021,RAW,20,476,2020-10-13,4,241,0.15337312515534335,0.03851879926893839,0.5,0.5774183702383127,0.056797688486764725,0.13800228997271077
O1,FACTOR_COMPOSITE,2021,RAW,40,475,2020-11-11,3,180,0.1818285300761728,0.15693086034071588,1.0,0.6067723327514818,0.07919547592607004,0.1303081026777675
O1,FACTOR_COMPOSITE,2021,RAW,60,419,2020-12-09,3,180,0.13531140503721195,0.20314302228417921,0.6666666666666666,0.5585219752553536,0.09244606316643807,0.1303081026777675
O1,FACTOR_COMPOSITE,2021,SECTOR_RELATIVE,20,476,2020-10-13,4,241,0.14669435586810006,0.1383184081054448,0.75,0.596602286734961,0.056797688486764725,0.13800228997271077
O1,FACTOR_COMPOSITE,2021,SECTOR_RELATIVE,40,475,2020-11-11,3,180,0.15133480961315524,0.15113661773291814,1.0,0.6105602957562901,0.07919547592607004,0.1303081026777675
O1,FACTOR_COMPOSITE,2021,SECTOR_RELATIVE,60,419,2020-12-09,3,180,0.18048862306365443,0.08788628364077476,1.0,0.5913692746520728,0.09244606316643807,0.1303081026777675
O1,FACTOR_COMPOSITE,2021,BETA_RESIDUAL,20,476,2020-10-13,4,241,0.1378924056490144,0.025105865925920033,0.5,0.5737190596663472,0.056797688486764725,0.13800228997271077
O1,FACTOR_COMPOSITE,2021,BETA_RESIDUAL,40,475,2020-11-11,3,180,0.1816062288665479,0.16054357715394293,1.0,0.6011414571356161,0.07919547592607004,0.1303081026777675
O1,FACTOR_COMPOSITE,2021,BETA_RESIDUAL,60,419,2020-12-09,3,180,0.14439866353643285,0.19891898132833857,0.6666666666666666,0.5486004921450653,0.09244606316643807,0.1303081026777675
O1,FACTOR_COMPOSITE,2021,VOL_SCALED,20,476,2020-10-13,4,241,0.11423086635347054,-0.01339384931550592,0.5,0.5586907410477691,0.056797688486764725,0.13800228997271077
O1,FACTOR_COMPOSITE,2021,VOL_SCALED,40,475,2020-11-11,3,180,0.20147613682432128,0.1757725680281615,1.0,0.6010650919271973,0.07919547592607004,0.1303081026777675
O1,FACTOR_COMPOSITE,2021,VOL_SCALED,60,419,2020-12-09,3,180,0.20306315486925372,0.32408398438824876,0.6666666666666666,0.5773143868185461,0.09244606316643807,0.1303081026777675
O1,RIDGE,2020,RAW,20,236,2019-10-28,3,180,-0.12234880059275725,-0.18955265351486528,0.3333333333333333,0.5709829424243634,-0.06043579856295226,0.04034980367726487
O1,RIDGE,2020,RAW,40,236,2019-11-26,3,179,0.04968653489315359,-0.04178938594053905,0.3333333333333333,0.6285650880043193,0.016409070640784073,0.021041511021443138
O1,RIDGE,2020,RAW,60,236,2019-12-24,3,177,-0.25645821157218,-0.3154880187025132,0.3333333333333333,0.462633629221461,-0.2317239420817484,0.016939319573877173
O1,RIDGE,2020,SECTOR_RELATIVE,20,236,2019-10-28,3,180,-0.04180849044337592,-0.06765862266035912,0.3333333333333333,0.6582720183446661,-0.013363277102282906,0.030045592181981422
O1,RIDGE,2020,SECTOR_RELATIVE,40,236,2019-11-26,3,179,0.15494215962612998,0.07857847428480311,0.6666666666666666,0.6654168204385598,0.13083027618088408,0.019708713156327478
O1,RIDGE,2020,SECTOR_RELATIVE,60,236,2019-12-24,3,177,-0.2584301374535389,-0.2189490914956253,0.0,0.3165309340769573,-0.28985130338370996,0.011816433794705395
O1,RIDGE,2020,BETA_RESIDUAL,20,236,2019-10-28,3,180,-0.035935908122626654,-0.10097249235898863,0.3333333333333333,0.6388691083957966,-0.02541738455744756,0.055513277876375035
O1,RIDGE,2020,BETA_RESIDUAL,40,236,2019-11-26,3,179,0.1101915282980905,-0.028396776882467355,0.3333333333333333,0.6582261215100035,0.09693873268605331,0.03690012692009954
O1,RIDGE,2020,BETA_RESIDUAL,60,236,2019-12-24,3,177,-0.06740697447886228,-0.09503214494447694,0.3333333333333333,0.5569896323038404,-0.14722318831921247,0.01903116573118734
O1,RIDGE,2020,VOL_SCALED,20,236,2019-10-28,3,180,-0.05555246827822544,-0.05312586829674911,0.0,0.5500222156073634,-0.10760791081642328,0.0658745711222628
O1,RIDGE,2020,VOL_SCALED,40,236,2019-11-26,3,179,-0.05719979687844327,-0.2202834120589053,0.3333333333333333,0.6167977639269133,-0.14618114855791883,0.027573924420399073
O1,RIDGE,2020,VOL_SCALED,60,236,2019-12-24,3,177,-0.06695889343463862,-0.2286382232612508,0.3333333333333333,0.6153858770580857,-0.2542778563526538,0.05793014805040227
O1,RIDGE,2021,RAW,20,476,2020-10-13,4,241,0.050336338947198585,0.09869990768044888,0.75,0.5063308650691366,0.017831079547365267,0.03319291113621646
O1,RIDGE,2021,RAW,40,475,2020-11-11,3,180,0.09763823284245626,0.18588496804667967,0.6666666666666666,0.46487053025910013,0.04493666872289163,0.03410108914261282
O1,RIDGE,2021,RAW,60,419,2020-12-09,3,180,-0.04666110956747247,-0.1718255070853015,0.3333333333333333,0.458223807405117,0.033358495612913035,0.03983699511072624
O1,RIDGE,2021,SECTOR_RELATIVE,20,476,2020-10-13,4,241,-0.015316363353977694,-0.0013325141431304605,0.5,0.46125946550456004,0.01797358635235186,0.027197044388951194
O1,RIDGE,2021,SECTOR_RELATIVE,40,475,2020-11-11,3,180,0.0415306316234155,0.001305936453813913,0.6666666666666666,0.42988932657227563,0.04485673148799787,0.037444876688165846
O1,RIDGE,2021,SECTOR_RELATIVE,60,419,2020-12-09,3,180,-0.05485859302084969,-0.06646382973452936,0.3333333333333333,0.4040228158373596,-0.004641303960282626,0.038248091638105365
