observation_id,ticker,financial_period,field,xbrl_code,first_published_value_try,latest_recovered_value_try,published_comparative_value_try,local_stored_value_try,missing_official,missing_local,local_basis_classification
AEFES.IS:2023Q4,AEFES.IS,2023Q4,net_income,ifrs-full_ProfitLoss,33541789000.0,33541789000.0,23003578000.0,48427296000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2023Q4,AEFES.IS,2023Q4,equity,ifrs-full_Equity,129877895000.0,129877895000.0,134725218000.0,187516402000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2023Q4,AEFES.IS,2023Q4,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,22332110000.0,22332110000.0,14550131000.0,34409262000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2023Q4,AEFES.IS,2023Q4,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-10898199000.0,-10898199000.0,-9722625000.0,,False,True,UNKNOWN
AEFES.IS:2023Q4,AEFES.IS,2023Q4,fcf,DERIVED_CFO_PLUS_INVESTING_CF,11433911000.0,11433911000.0,,18674550000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2024Q2,AEFES.IS,2024Q2,revenue,ifrs-full_Revenue,107731216000.0,107731216000.0,108651986000.0,145489930000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2024Q2,AEFES.IS,2024Q2,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,13027613000.0,13027613000.0,13533278000.0,17319678000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2024Q2,AEFES.IS,2024Q2,ebitda,,,,,24230482000.0,True,False,UNKNOWN
AEFES.IS:2024Q2,AEFES.IS,2024Q2,net_income,ifrs-full_ProfitLoss,12423558000.0,12423558000.0,15027594000.0,16777891000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2024Q2,AEFES.IS,2024Q2,equity,ifrs-full_Equity,158074887000.0,158074887000.0,162003193000.0,158074887000.0,False,False,MATCHES_FIRST_AND_LATEST
AEFES.IS:2024Q2,AEFES.IS,2024Q2,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,10340504000.0,10340504000.0,11496573000.0,15606842000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2024Q2,AEFES.IS,2024Q2,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-7861039000.0,-7861039000.0,-7606465000.0,,False,True,UNKNOWN
AEFES.IS:2024Q2,AEFES.IS,2024Q2,fcf,DERIVED_CFO_PLUS_INVESTING_CF,2479465000.0,2479465000.0,,4990586000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2022Q1,ASELS.IS,2022Q1,revenue,ifrs-full_Revenue,4365256000.0,4365256000.0,3173135000.0,4365256000.0,False,False,MATCHES_FIRST_AND_LATEST
ASELS.IS:2022Q1,ASELS.IS,2022Q1,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,1854249000.0,1854249000.0,1561211000.0,905740000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2022Q1,ASELS.IS,2022Q1,ebitda,,,,,1036574000.0,True,False,UNKNOWN
ASELS.IS:2022Q1,ASELS.IS,2022Q1,net_income,ifrs-full_ProfitLoss,1676941000.0,1676941000.0,1228827000.0,1676941000.0,False,False,MATCHES_FIRST_AND_LATEST
ASELS.IS:2022Q1,ASELS.IS,2022Q1,equity,ifrs-full_Equity,27541123000.0,27541123000.0,25835210000.0,27541123000.0,False,False,MATCHES_FIRST_AND_LATEST
ASELS.IS:2022Q1,ASELS.IS,2022Q1,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,-1047339000.0,-1047339000.0,-634809000.0,-1047339000.0,False,False,MATCHES_FIRST_AND_LATEST
ASELS.IS:2022Q1,ASELS.IS,2022Q1,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-1153081000.0,-1153081000.0,-484930000.0,,False,True,UNKNOWN
ASELS.IS:2022Q1,ASELS.IS,2022Q1,fcf,DERIVED_CFO_PLUS_INVESTING_CF,-2200420000.0,-2200420000.0,,-2200420000.0,False,False,MATCHES_FIRST_AND_LATEST
ASELS.IS:2023Q4,ASELS.IS,2023Q4,revenue,ifrs-full_Revenue,73592774000.0,73592774000.0,66860171000.0,106252343000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2023Q4,ASELS.IS,2023Q4,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,24973743000.0,24973743000.0,17957213000.0,18228042000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2023Q4,ASELS.IS,2023Q4,ebitda,,,,,23140045000.0,True,False,UNKNOWN
ASELS.IS:2023Q4,ASELS.IS,2023Q4,net_income,ifrs-full_ProfitLoss,7374265000.0,7374265000.0,1189309000.0,10646874000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2023Q4,ASELS.IS,2023Q4,equity,ifrs-full_Equity,88380378000.0,88380378000.0,80806003000.0,127602504000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2023Q4,ASELS.IS,2023Q4,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,8374864000.0,8374864000.0,12044475000.0,12091527000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2023Q4,ASELS.IS,2023Q4,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-11681605000.0,-11681605000.0,-11854816000.0,,False,True,UNKNOWN
ASELS.IS:2023Q4,ASELS.IS,2023Q4,fcf,DERIVED_CFO_PLUS_INVESTING_CF,-3306741000.0,-3306741000.0,,-4774231000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2024Q3,ASELS.IS,2024Q3,revenue,ifrs-full_Revenue,60715973000.0,60715973000.0,53063438000.0,80930749000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2024Q3,ASELS.IS,2024Q3,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,14368042000.0,14368042000.0,22777915000.0,16197701000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2024Q3,ASELS.IS,2024Q3,ebitda,,,,,19188600000.0,True,False,UNKNOWN
ASELS.IS:2024Q3,ASELS.IS,2024Q3,net_income,ifrs-full_ProfitLoss,6074699000.0,6074699000.0,4357402000.0,8097210000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
ASELS.IS:2024Q3,ASELS.IS,2024Q3,equity,ifrs-full_Equity,125353862000.0,125353862000.0,120073898000.0,125353862000.0,False,False,MATCHES_FIRST_AND_LATEST
ASELS.IS:2024Q3,ASELS.IS,2024Q3,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,903430000.0,903430000.0,3845805000.0,1204217000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
