ticker,financial_period,availability_proxy_date,historical_capital_available,fallback_capital_source_date,fallback_capital,market_cap_source,future_last_capital_fallback,affected_fields
ONCSM.IS,2022Q3,2022-11-15,False,2026-09-07,23850000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PASEU.IS,2020Q4,2021-03-15,False,2026-09-07,672000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PASEU.IS,2021Q4,2022-03-15,False,2026-09-07,672000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PASEU.IS,2022Q1,2022-05-15,False,2026-09-07,672000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PASEU.IS,2022Q2,2022-08-15,False,2026-09-07,672000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PASEU.IS,2022Q3,2022-11-15,False,2026-09-07,672000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PASEU.IS,2022Q4,2023-03-15,False,2026-09-07,672000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PASEU.IS,2023Q1,2023-05-15,False,2026-09-07,672000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PLTUR.IS,2019Q4,2020-03-15,False,2026-09-07,244750000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PLTUR.IS,2020Q4,2021-03-15,False,2026-09-07,244750000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PLTUR.IS,2021Q3,2021-11-15,False,2026-09-07,244750000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PLTUR.IS,2021Q4,2022-03-15,False,2026-09-07,244750000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PLTUR.IS,2022Q1,2022-05-15,False,2026-09-07,244750000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PLTUR.IS,2022Q2,2022-08-15,False,2026-09-07,244750000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
PLTUR.IS,2022Q3,2022-11-15,False,2026-09-07,244750000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
REEDR.IS,2020Q4,2021-03-15,False,2026-09-07,950000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
REEDR.IS,2021Q4,2022-03-15,False,2026-09-07,950000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
REEDR.IS,2022Q1,2022-05-15,False,2026-09-07,950000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
REEDR.IS,2022Q2,2022-08-15,False,2026-09-07,950000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
REEDR.IS,2022Q3,2022-11-15,False,2026-09-07,950000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
REEDR.IS,2022Q4,2023-03-15,False,2026-09-07,950000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
REEDR.IS,2023Q1,2023-05-15,False,2026-09-07,950000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
REEDR.IS,2023Q2,2023-08-15,False,2026-09-07,950000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SDTTR.IS,2019Q4,2020-03-15,False,2026-09-07,638000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SDTTR.IS,2020Q4,2021-03-15,False,2026-09-07,638000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SDTTR.IS,2021Q3,2021-11-15,False,2026-09-07,638000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SDTTR.IS,2021Q4,2022-03-15,False,2026-09-07,638000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SDTTR.IS,2022Q1,2022-05-15,False,2026-09-07,638000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
