outer_fold,inner_year,candidate,target_family,horizon_sessions,univariate_ic_mean,univariate_ic_median,univariate_ic_std,univariate_positive_ratio,univariate_icir,univariate_dates
O2,2022,downside_vol_126,VOL_SCALED,40,-0.18432339703083592,-0.16805875576036866,0.04141104840656913,0.0,-4.451068111610433,3
O2,2021,max_drawdown_63,VOL_SCALED,40,0.030823376863943694,-0.02006112809113643,0.136169074197869,0.3333333333333333,0.22636106653081783,3
O2,2022,max_drawdown_63,VOL_SCALED,40,0.16621197260375709,0.18015552995391707,0.15725635134276011,1.0,1.0569491863732554,3
O2,2021,log_adv20,VOL_SCALED,40,-0.0014263221265166288,-0.014059460961378162,0.1976911333106229,0.3333333333333333,-0.0072149018655050905,3
O2,2022,log_adv20,VOL_SCALED,40,-0.03685559399002425,0.05649961597542243,0.24617370894310878,0.6666666666666666,-0.1497137697939208,3
O2,2021,log_adv63,VOL_SCALED,40,-0.019894415115309805,-0.05118088357877189,0.2250049288456058,0.3333333333333333,-0.08841768585861061,3
O2,2022,log_adv63,VOL_SCALED,40,-0.0332872491391547,0.04214669738863287,0.26312720561753294,0.6666666666666666,-0.126506299723105,3
O2,2021,log_amihud20,VOL_SCALED,40,-0.008131888487542843,-0.0647402056126702,0.2306114905542762,0.3333333333333333,-0.03526228666228988,3
O2,2022,log_amihud20,VOL_SCALED,40,-0.007427789187899547,-0.11155913978494625,0.24551736608421726,0.3333333333333333,-0.030253620370591913,3
O2,2021,log_amihud63,VOL_SCALED,40,-0.0006483282393257572,-0.06796332314531817,0.24887996144169877,0.3333333333333333,-0.0026049836859912525,3
O2,2022,log_amihud63,VOL_SCALED,40,-0.004305110425650201,-0.11280721966205837,0.2854706193849201,0.3333333333333333,-0.015080747836418565,3
O2,2021,zero_return_ratio20,VOL_SCALED,40,-0.14512294659690064,-0.1383433913761269,0.09088010753171845,0.0,-1.5968615194062208,3
O2,2022,zero_return_ratio20,VOL_SCALED,40,0.1013853620604659,0.12556599393070178,0.09352996282553352,0.6666666666666666,1.0839880504345487,3
O2,2021,zero_return_ratio63,VOL_SCALED,40,-0.2185779459069922,-0.17289921676358364,0.09192992196007445,0.0,-2.3776583428616584,3
O2,2022,zero_return_ratio63,VOL_SCALED,40,0.20492265788957628,0.20176427036957714,0.06947713443486225,1.0,2.949497839202046,3
O2,2021,volume_cv63,VOL_SCALED,40,0.006575900713161063,0.004723534315087525,0.22751329667631076,0.6666666666666666,0.028903368766691348,3
O2,2022,volume_cv63,VOL_SCALED,40,-0.002174399122644157,-0.013003612114476246,0.056018161915017954,0.3333333333333333,-0.038815966970548184,3
O3,2022,mom_20,VOL_SCALED,60,0.0780685349247181,0.04651497695852535,0.15063744081567398,0.6666666666666666,0.5182545222621373,3
O3,2023,mom_20,VOL_SCALED,60,0.08094833572703947,0.08877987683957834,0.20526484528118114,0.6666666666666666,0.39436044499559947,3
O3,2022,mom_40,VOL_SCALED,60,0.08116424180238951,0.01989441511530981,0.2259798965280019,0.6666666666666666,0.3591657623063483,3
O3,2023,mom_40,VOL_SCALED,60,0.08608228327350935,0.15767419586559187,0.1704494141174296,0.6666666666666666,0.5050312652538878,3
O3,2022,mom_63_rank,VOL_SCALED,60,0.09637981521009066,0.14993053626007227,0.1253500393373253,0.6666666666666666,0.7688854005919069,3
O3,2023,mom_63_rank,VOL_SCALED,60,0.0027627129998338503,0.09226594301221168,0.23218038208900926,0.6666666666666666,0.011898994113872763,3
O3,2022,mom_126,VOL_SCALED,60,0.03292333098870983,0.0641321044546851,0.16836006122483807,0.6666666666666666,0.19555309465433166,3
O3,2023,mom_126,VOL_SCALED,60,0.0006371005827589121,0.02174954106472983,0.19433193894710576,0.6666666666666666,0.0032784141722186043,3
O3,2022,mom_252,VOL_SCALED,60,0.014185514708173344,0.03696236559139785,0.142228396823528,0.6666666666666666,0.09973757016873525,3
O3,2023,mom_252,VOL_SCALED,60,-0.014636758050795522,-0.003831111820576264,0.294961052602543,0.3333333333333333,-0.04962268042390804,3
O3,2022,mom_126_skip20,VOL_SCALED,60,0.06001970878011716,0.017041090629800307,0.18038882106021348,0.6666666666666666,0.3327241035633948,3
O3,2023,mom_126_skip20,VOL_SCALED,60,-0.03994314595471524,-0.14160906298003073,0.2046359035789968,0.3333333333333333,-0.19519128977919434,3
O3,2022,mom_252_skip20,VOL_SCALED,60,0.002324317914446002,0.011810329631588224,0.13282025334094152,0.6666666666666666,0.017499725049308704,3
O3,2023,mom_252_skip20,VOL_SCALED,60,-0.00497090976749136,-0.04874230247364577,0.23002518846072992,0.3333333333333333,-0.02161028451168946,3
O3,2022,positive_return_ratio_63,VOL_SCALED,60,0.002103607830808596,-0.016720823358856787,0.15685338763777398,0.3333333333333333,0.013411299956533408,3
O3,2023,positive_return_ratio_63,VOL_SCALED,60,0.1475835407171172,0.10990733546793897,0.15770396287108365,1.0,0.9358264562936858,3
O3,2022,sign_consistency_4x20,VOL_SCALED,60,0.08054289365736092,0.05791526233596187,0.08980609279767905,1.0,0.8968533330896951,3
O3,2023,sign_consistency_4x20,VOL_SCALED,60,0.08849849058188101,0.11141349306554509,0.12190648516244408,0.6666666666666666,0.7259539183986323,3
O3,2022,ret_5,VOL_SCALED,60,0.04654224494429885,-0.029008057793831626,0.15058921010547424,0.3333333333333333,0.30906759462846095,3
O3,2023,ret_5,VOL_SCALED,60,0.0007673812415521323,0.0003966183070660683,0.14275419908431275,0.6666666666666666,0.005375542341132155,3
O3,2022,ret_10,VOL_SCALED,60,0.037406953089176645,-0.0009600614439324118,0.08656136568857843,0.3333333333333333,0.4321437490225781,3
