outer_fold,target_family,inner_selected_horizon,selected_family_by_inner,cost_bps,train_observations,test_start,test_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events
O2,BETA_RESIDUAL,40,False,0,962,2023-01-01,2023-12-31,4,263,-0.18226970719965602,-0.105259490290219,0.0,0.4684125518797797,-0.03192111623682402,1.4352351510996395,2.452768384073738,2.6696697064944512,-0.2845717087347035,181,0.9412284784483842,2.8236854353451526,0,0
O2,BETA_RESIDUAL,40,False,30,962,2023-01-01,2023-12-31,4,263,-0.18226970719965602,-0.105259490290219,0.0,0.4684125518797797,-0.03192111623682402,1.4187256895279958,2.4202219979952173,2.6468874365082082,-0.2879434066989831,181,0.9426237741579374,2.827871322473812,0,0
O2,BETA_RESIDUAL,40,False,50,962,2023-01-01,2023-12-31,4,263,-0.18226970719965602,-0.105259490290219,0.0,0.4684125518797797,-0.03192111623682402,1.4077375340448142,2.398608406170607,2.631514021665998,-0.2901978207084568,181,0.9435600735631979,2.830680220689594,0,0
O2,BETA_RESIDUAL,40,False,100,962,2023-01-01,2023-12-31,4,263,-0.18226970719965602,-0.105259490290219,0.0,0.4684125518797797,-0.03192111623682402,1.3803306781462257,2.344868085896283,2.59245695053013,-0.2958572220778184,181,0.9459224797374137,2.837767439212241,0,0
O2,VOL_SCALED,40,True,0,962,2023-01-01,2023-12-31,4,263,-0.17349172124676424,-0.09999386039772346,0.0,0.4446413822186827,-0.022187549960603216,1.4648592635111188,2.5113857466671594,2.733124155575842,-0.27393664729492095,181,1.008536916700505,3.025610750101515,0,0
O2,VOL_SCALED,40,True,30,962,2023-01-01,2023-12-31,4,263,-0.17349172124676424,-0.09999386039772346,0.0,0.4446413822186827,-0.022187549960603216,1.4472552119209774,2.4765190060293487,2.709069591617447,-0.2773189953847571,181,1.0099314652316742,3.0297943956950224,0,0
O2,VOL_SCALED,40,True,50,962,2023-01-01,2023-12-31,4,263,-0.17349172124676424,-0.09999386039772346,0.0,0.4446413822186827,-0.022187549960603216,1.435543274940207,2.4533766375334554,2.6928178337994804,-0.2795805419200549,181,1.0108672587194987,3.0326017761584962,0,0
O2,VOL_SCALED,40,True,100,962,2023-01-01,2023-12-31,4,263,-0.17349172124676424,-0.09999386039772346,0.0,0.4446413822186827,-0.022187549960603216,1.4063477454325781,2.395877457588094,2.651464276159761,-0.28525788919381334,181,1.0132283721533464,3.0396851164600394,0,0
O3,RAW,60,False,0,1167,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.049363305386189986,0.4356460019574193,0.6544421315705795,2.0217768586208664,-0.14006721725523053,181,1.0947126461378451,3.284137938413535,0,0
O3,RAW,60,False,30,1167,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.049363305386189986,0.42287276925885964,0.6339839460511882,1.9697834172625899,-0.1405696744484879,181,1.095987740773315,3.287963222319945,0,0
O3,RAW,60,False,50,1167,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.049363305386189986,0.41438055004827223,0.6204222007498332,1.9345419272721465,-0.14090773100370269,181,1.0968427327414465,3.2905281982243397,0,0
O3,RAW,60,False,100,1167,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.049363305386189986,0.3932313884147205,0.5867867241978482,1.844667151959853,-0.14176390115937643,181,1.098997693242805,3.2969930797284146,0,0
O3,SECTOR_RELATIVE,60,False,0,1167,2024-01-01,2024-12-31,2,149,0.03159816262561407,0.03159816262561407,0.5,0.5381504424978252,0.07946818937579092,0.24537470563000863,0.3573221287361239,1.275906583348264,-0.18447860350962197,181,1.3345292141216512,4.003587642364954,0,0
O3,SECTOR_RELATIVE,60,False,30,1167,2024-01-01,2024-12-31,2,149,0.03159816262561407,0.03159816262561407,0.5,0.5381504424978252,0.07946818937579092,0.23108793339954237,0.33569203394799696,1.2110390366441919,-0.1853608662906885,181,1.3363426091298933,4.00902782738968,0,0
O3,SECTOR_RELATIVE,60,False,50,1167,2024-01-01,2024-12-31,2,149,0.03159816262561407,0.03159816262561407,0.5,0.5381504424978252,0.07946818937579092,0.2215989598457464,0.32138003181932606,1.1674313003456207,-0.18595557691863063,181,1.3375598195392933,4.01267945861788,0,0
O3,SECTOR_RELATIVE,60,False,100,1167,2024-01-01,2024-12-31,2,149,0.03159816262561407,0.03159816262561407,0.5,0.5381504424978252,0.07946818937579092,0.19800080839405987,0.2859767150579404,1.057597333986,-0.19237209084896734,181,1.3406322960410748,4.021896888123225,0,0
O3,BETA_RESIDUAL,60,False,0,1167,2024-01-01,2024-12-31,2,149,0.09233539234981195,0.09233539234981195,1.0,0.5846075310876019,0.1116424541940726,0.11640307962338081,0.1656805491328659,0.7602442220355927,-0.1861567763067301,181,1.6000000000000003,4.800000000000001,0,0
O3,BETA_RESIDUAL,60,False,30,1167,2024-01-01,2024-12-31,2,149,0.09233539234981195,0.09233539234981195,1.0,0.5846075310876019,0.1116424541940726,0.10065523621341677,0.1428511268706989,0.6747122644664407,-0.19156541822187223,181,1.602601551671545,4.807804655014635,0,0
O3,BETA_RESIDUAL,60,False,50,1167,2024-01-01,2024-12-31,2,149,0.09233539234981195,0.09233539234981195,1.0,0.5846075310876019,0.1116424541940726,0.09020420407279617,0.1277708822693484,0.617522069799893,-0.19518829743514754,181,1.604350904833309,4.8130527144999276,0,0
O3,BETA_RESIDUAL,60,False,100,1167,2024-01-01,2024-12-31,2,149,0.09233539234981195,0.09233539234981195,1.0,0.5846075310876019,0.1116424541940726,0.06424269918565595,0.09055556171335533,0.4749841354396041,-0.2043067157379307,181,1.60877780496752,4.82633341490256,0,0
O3,VOL_SCALED,60,True,0,1167,2024-01-01,2024-12-31,2,149,0.05831387984956839,0.05831387984956839,0.5,0.46593612116965094,0.07011232104410542,0.11311770066099469,0.16090728934424514,0.7510179694883468,-0.23160178877818427,181,1.1589034983106616,3.476710494931985,0,0
O3,VOL_SCALED,60,True,30,1167,2024-01-01,2024-12-31,2,149,0.05831387984956839,0.05831387984956839,0.5,0.46593612116965094,0.07011232104410542,0.10163958956820185,0.14427439756372018,0.6875782276584715,-0.23526179044929374,181,1.1603440131687865,3.48103203950636,0,0
O3,VOL_SCALED,60,True,50,1167,2024-01-01,2024-12-31,2,149,0.05831387984956839,0.05831387984956839,0.5,0.46593612116965094,0.07011232104410542,0.09401246296537713,0.13325944571446402,0.6451823338703333,-0.23771076512527756,181,1.161310440513236,3.483931321539708,0,0
O3,VOL_SCALED,60,True,100,1167,2024-01-01,2024-12-31,2,149,0.05831387984956839,0.05831387984956839,0.5,0.46593612116965094,0.07011232104410542,0.07503187856494464,0.10597890111167207,0.5392245264291695,-0.24386509453690108,181,1.1637481130339644,3.4912443391018932,0,0
