outer_fold,horizon_sessions,selected_by_inner,cost_bps,train_observations,test_start,test_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events
O3,40,False,50,1290,2024-01-01,2024-12-31,4,297,-0.005874716188698139,0.06025236033095737,0.75,0.5322300741015358,0.333342939199742,0.49263015219030426,1.6210471697358027,-0.19235375308320424,181,1.2381815435067718,3.714544630520315,0,0
O3,40,False,100,1290,2024-01-01,2024-12-31,4,297,-0.005874716188698139,0.06025236033095737,0.75,0.5322300741015358,0.3102397696481656,0.4567445528093943,1.5222635413901935,-0.19360261258852451,181,1.2404429004410362,3.7213287013231087,0,0
O3,60,True,0,1167,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.4356460019574193,0.6544421315705795,2.0217768586208664,-0.14006721725523053,181,1.0947126461378451,3.284137938413535,0,0
O3,60,True,30,1167,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.42287276925885964,0.6339839460511882,1.9697834172625899,-0.1405696744484879,181,1.095987740773315,3.287963222319945,0,0
O3,60,True,50,1167,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.41438055004827223,0.6204222007498332,1.9345419272721465,-0.14090773100370269,181,1.0968427327414465,3.2905281982243397,0,0
O3,60,True,100,1167,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.3932313884147205,0.5867867241978482,1.844667151959853,-0.14176390115937643,181,1.098997693242805,3.2969930797284146,0,0
O4,20,True,0,1591,2025-01-01,2025-05-30,2,165,-0.20329881124171634,-0.20329881124171634,0.0,0.43742251689330314,-0.1804508781504911,-0.5604932701737395,-2.0521525735082604,-0.22515830714963447,61,0.9999999999999999,0.9999999999999999,0,0
O4,20,True,30,1591,2025-01-01,2025-05-30,2,165,-0.20329881124171634,-0.20329881124171634,0.0,0.43742251689330314,-0.1834508781504911,-0.5671016190585265,-2.082592602287342,-0.22582698927393752,61,0.9999999999999999,0.9999999999999999,0,0
O4,20,True,50,1591,2025-01-01,2025-05-30,2,165,-0.20329881124171634,-0.20329881124171634,0.0,0.43742251689330314,-0.1854508781504911,-0.5714651564565106,-2.1024252790814972,-0.2262749882596038,61,0.9999999999999999,0.9999999999999999,0,0
O4,20,True,100,1591,2025-01-01,2025-05-30,2,165,-0.20329881124171634,-0.20329881124171634,0.0,0.43742251689330314,-0.1904508781504911,-0.582228176083157,-2.150381771239083,-0.2274028010215201,61,0.9999999999999999,0.9999999999999999,0,0
O4,40,False,0,1587,2025-01-01,2025-05-30,1,79,-0.35484420642648495,-0.35484420642648495,0.0,0.34941382941204147,-0.0771067236044235,-0.2821468166898641,-0.7404402760201708,-0.18634346371249932,61,0.9999999999999999,0.9999999999999999,0,0
O4,40,False,30,1587,2025-01-01,2025-05-30,1,79,-0.35484420642648495,-0.35484420642648495,0.0,0.34941382941204147,-0.0801067236044235,-0.2917378502627185,-0.772454779946627,-0.18689750829252338,61,0.9999999999999999,0.9999999999999999,0,0
O4,40,False,50,1587,2025-01-01,2025-05-30,1,79,-0.35484420642648495,-0.35484420642648495,0.0,0.34941382941204147,-0.0821067236044235,-0.298077697589763,-0.7935047284503469,-0.1872687053252371,61,0.9999999999999999,0.9999999999999999,0,0
O4,40,False,100,1587,2025-01-01,2025-05-30,1,79,-0.35484420642648495,-0.35484420642648495,0.0,0.34941382941204147,-0.0871067236044234,-0.3137391636585001,-0.8450686559673154,-0.18820318089602162,61,0.9999999999999999,0.9999999999999999,0,0
O4,60,False,0,1383,2025-01-01,2025-05-30,1,79,-0.1972005842259007,-0.1972005842259007,0.0,0.4684657360426521,0.02853741771035767,0.12326704756243223,0.5164649931925069,-0.13728703028493783,61,0.9999999999999999,0.9999999999999999,0,0
O4,60,False,30,1383,2025-01-01,2025-05-30,1,79,-0.1972005842259007,-0.1972005842259007,0.0,0.4684657360426521,0.02553741771035778,0.10979383069575643,0.47949674952561516,-0.1376805089512002,61,0.9999999999999999,0.9999999999999999,0,0
O4,60,False,50,1383,2025-01-01,2025-05-30,1,79,-0.1972005842259007,-0.1972005842259007,0.0,0.4684657360426521,0.023537417710357778,0.10087998047744762,0.4549448737836509,-0.1379440835165383,61,0.9999999999999999,0.9999999999999999,0,0
O4,60,False,100,1383,2025-01-01,2025-05-30,1,79,-0.1972005842259007,-0.1972005842259007,0.0,0.4684657360426521,0.018537417710357884,0.07883273332940188,0.3939733109464292,-0.1386074562829649,61,0.9999999999999999,0.9999999999999999,0,0
